,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,tutorial_sections,video_materials,practical_sections,practical_time_spent,practice_problems,progress_check,comment_one_word,confused_topics,function_check,boolean_check,if_else_check,course_feedback,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
10,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241","320149, 320262, 320323","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241",2024-01-29 05:19:19 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Trying to solve the breakout problems",,,"PRA0107\, Monday\, 9 - 11 am",Less than 2 hour,Yes,I am starting to fall behind,confortable,logical operators,I completely understand,I somewhat understand,I somewhat understand,,1010348170.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,confortable,0.0,3.0
11,"APS106H1-S-TUT0102-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241","320285, 320239, 320111","APS106H1-S-TUT0102-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241",2024-01-29 05:19:13 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,2-4 hours,No,I am up-to-date,Worried,Im a little confused with some of the boolean functions.,I somewhat understand,I somewhat understand,I somewhat understand,,1010356133.0,LEC0101,TUT0102,PRA0104,Civil,LEC0101,False,False,True,worried,-1.2,3.0
12,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0101-20241","320129, 320294, 320168","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0101-20241",2024-01-29 05:19:09 UTC,"Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm)",Other,,"Following the lecture by looking at the content and listening to the instructor,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,"Since I've programmed with Python already, I am feeling fairly confident with what has been taught",,I completely understand,I completely understand,I completely understand,,,,,,,False,LEC0102,False,False,"since i ve programmed with python already, i am feeling fairly confident with what has been taught",2.7,1.0
13,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241","320149, 320231, 320328","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241",2024-01-29 05:19:06 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Katia (TUT0108\, Tuesday\, 9 - 10 am)",LEC0103 - Beck Lecture Recording,"PRA0103\, Monday\, 1 - 3 pm",2-4 hours,No,I am up-to-date,"This week I understood everything , the labs helped a lot. And our lecture being online was good too, it was easier to follow. ",,I completely understand,I completely understand,I somewhat understand,,1008923097.0,LEC0103,TUT0108,PRA0103,Industrial,False,False,LEC0103,True,"this week i understood everything , the labs helped a lot  and our lecture being online was good too, it was easier to follow  ",3.7,3.0
14,"APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241","320262, 320323, 320149","APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241",2024-01-29 05:13:33 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm)","I was working on assignments for this course,I was working on assignments and/or projects for another course",,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,,,I completely understand,I completely understand,I completely understand,,1010069015.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,nan,0.0,1.0
15,"APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241","320323, 320149, 320262","APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241",2024-01-29 05:12:45 UTC,"Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm)",I was studying for a term test for another course,I prefer the room of the lectures in another section(s),I was studying for a term test for this course,"Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0106\, Friday\, 3 - 5 pm",4-8 hours,Yes,I am starting to fall behind,Awesome ,Float ,I somewhat understand,I somewhat understand,I completely understand,The professor is really good ,1008728432.0,LEC0103,TUT0107,PRA0107,Industrial,False,LEC0102,False,False,awesome ,0.0,1.0
16,"APS106H1-S-TUT0107-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0101-20241","320323, 320270, 320111","APS106H1-S-TUT0107-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0101-20241",2024-01-29 05:06:50 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",The lecture room is not conducive to learning,I prefer the teaching style in another section(s),Distracted with non-academic activities,I did not attend any tutorials this week,TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,"PRA0108\, Thursday\, 12 - 2 pm",Less than 2 hour,No,I am starting to fall behind,I feel that I might need catch up for this course ,Functions,I somewhat understand,I completely understand,I completely understand,"No, that s it ",,,,,,LEC0101,False,False,False,i feel that i might need catch up for this course ,0.0,3.0
17,"APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241","320224, 320285, 320111","APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241",2024-01-29 05:06:45 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,Distracted with non-academic activities","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",I did not use or plan to use any recorded material this week,"PRA0102\, Wednesday\, 1 - 3 pm",Less than 2 hour,No,I am up-to-date,Good,Nothing too confusing this week.,I completely understand,I completely understand,I completely understand,I'm nice at Python.,,,,,,LEC0101,False,False,False,good,1.9,3.0
18,"APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241","320323, 320262, 320149","APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241",2024-01-29 05:05:32 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Minori (TUT0107\, Monday\, 2 - 3 pm)",LEC0103 - Beck Lecture Recording,"PRA0107\, Monday\, 9 - 11 am",2-4 hours,Yes,I am up-to-date,Interesting.,"function

return",I completely understand,I completely understand,I completely understand,I hope I can be prepared for the term test.,1009919313.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,interesting ,1.7,3.0
19,"APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241","320253, 320129, 320315","APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241",2024-01-29 05:03:11 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm)",I was working on assignments and/or projects for another course,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",,TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,I did not attend any lab/practical sessions this week,2-4 hours,No,I am starting to fall behind,ok,,I somewhat understand,I completely understand,I completely understand,,1010708628.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,ok,1.4,2.0
20,"APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241","320231, 320294, 320111","APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241",2024-01-29 05:01:26 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm)",I was studying for a term test for another course,Other,Other,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am starting to fall behind,allright,,I somewhat understand,I somewhat understand,I somewhat understand,,1009953757.0,LEC0101,TUT0103,PRA0103,Mechanical,LEC0101,False,False,True,allright,0.0,1.0
21,"APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241","320285, 320224, 320111","APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241",2024-01-29 05:01:03 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,2-4 hours,No,I am up-to-date,I learned about if-statement and how to use it. It was interesting how we can reduced the lines of code by simply adding if-statement and logical operators - and & or.,I am satisfied with the learning for this week. Regular practice and attedance of the class have solidified knowledge of the material. ,I completely understand,I completely understand,I completely understand,I am currently learning the basic build-on function and some statements in APS106. I am having fun learning how to code so far. ,1007937681.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,i learned about if statement and how to use it  it was interesting how we can reduced the lines of code by simply adding if statement and logical operators   and   or ,1.7,3.0
22,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241","320129, 320315, 320253","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241",2024-01-29 04:59:17 UTC,I did not attend any lectures this week,Other,Other,I was working on assignments and/or projects for another course,I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0108\, Thursday\, 12 - 2 pm",Less than 2 hour,No,I am up-to-date,Confident ,,I completely understand,I completely understand,I completely understand,,1010546385.0,LEC0102,TUT0106,PRA0106,Mechanical,False,False,False,False,confident ,0.0,0.0
23,"APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241","320253, 320129, 320315","APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241",2024-01-29 04:55:34 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,"PRA0106\, Friday\, 3 - 5 pm",Less than 2 hour,No,I am up-to-date,,,I somewhat understand,I somewhat understand,I somewhat understand,,1009999735.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,nan,0.0,3.0
24,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241","320111, 320294, 320231","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241",2024-01-29 04:50:59 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Minori (TUT0107\, Monday\, 2 - 3 pm)",,"PRA0108\, Thursday\, 12 - 2 pm",2-4 hours,Yes,I have fallen behind,PythonGanster,conditional statements ,I do not understand,I do not understand,I do not understand,Hard,1010589123.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,pythonganster,0.0,3.0
25,"APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241","320239, 320111, 320299","APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241",2024-01-29 04:47:03 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm)",I was working on assignments and/or projects for another course,I prefer the scheduling of the lectures in another section(s),Following the lecture by looking at the content and listening to the instructor,"Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,Fine,,I somewhat understand,I somewhat understand,I completely understand,,1010083035.0,LEC0101,TUT0104,PRA0104,Mineral,LEC0101,False,False,True,fine,0.8,1.0
26,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241","320111, 320231, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241",2024-01-29 04:45:19 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",The lectures are not an effective learning tool for me,I prefer the teaching style in another section(s),Following the lecture by looking at the content and listening to the instructor,"Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0106\, Friday\, 3 - 5 pm",8+,No,I have fallen behind,"fast

 ",jupyter,I completely understand,I do not understand,I do not understand,good,1009951483.0,LEC0101,TUT0103,PRA0103,Mechanical,LEC0101,False,False,True,"fast

 ",0.0,1.0
27,"APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241","320231, 320111, 320328","APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241",2024-01-29 04:44:01 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",I was working on assignments and/or projects for another course,Other,Trying to solve the breakout problems,I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am starting to fall behind,Good,Not confused yet,I somewhat understand,I somewhat understand,I somewhat understand,I dont have other feedback,1009868181.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,good,1.9,2.0
28,"APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241","320285, 320224, 320111","APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241",2024-01-29 04:33:38 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",I was studying for a term test for this course,I prefer the room of the lectures in another section(s),Trying to solve the breakout problems,"Minori (TUT0102\, Tuesday\, 3 - 4 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0102\, Wednesday\, 1 - 3 pm",Less than 2 hour,Yes,I am starting to fall behind,good,Define function ,I somewhat understand,I somewhat understand,I somewhat understand,Good so far,1010229986.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,good,1.9,3.0
29,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0104-20241","320129, 320323, 320239","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0104-20241",2024-01-29 04:29:46 UTC,I did not attend any lectures this week,The lectures are not an effective learning tool for me,I prefer the teaching style in another section(s),Other,I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I have fallen behind,lost,,I do not understand,I do not understand,I somewhat understand,.,1009824068.0,LEC0102,TUT0107,PRA0107,Industrial,False,False,False,False,lost,-1.3,0.0
