,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,tutorial_sections,video_materials,practical_sections,practical_time_spent,practice_problems,progress_check,comment_one_word,confused_topics,module_check,functions_check,returns_print_check,course_feedback,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
10,"APS106H1-S-LEC0103-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0103-20241","320149, 320276, 320231","APS106H1-S-LEC0103-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0103-20241",2024-01-22 05:01:59 UTC,"Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",Other,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am starting to fall behind,Fine,,I somewhat understand,I somewhat understand,I somewhat understand,,,,,,,False,False,LEC0103,False,fine,0.8,2.0
11,"APS106H1-S-TUT0107-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0101-20241","320323, 320270, 320111","APS106H1-S-TUT0107-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0101-20241",2024-01-22 05:01:49 UTC,"Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm)",The lecture times make them challenging to regularly attend,I prefer the teaching style in another section(s),I was studying for a term test for another course,"Katia (TUT0109 Online\, Thursday\, 5 - 6 pm),Minori (TUT0102\, Tuesday\, 3 - 4 pm),Minori (TUT0107\, Monday\, 2 - 3 pm)","LEC0103 - Beck Lecture Recording,TUT0109 - Katia Tutorial Recording","PRA0104\, Thursday\, 12 - 2 pm",4-8 hours,Yes,I am starting to fall behind,,,I somewhat understand,I completely understand,I completely understand,,,,,,,False,False,LEC0103,False,nan,0.0,1.0
12,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0104-20241","320129, 320323, 320239","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0104-20241",2024-01-22 04:59:28 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",Other,Other,Following the lecture by looking at the content and listening to the instructor,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,"PRA0107\, Monday\, 9 - 11 am,PRA0104\, Thursday\, 12 - 2 pm",Less than 2 hour,Yes,I have fallen behind,I feel that lectures were bot helpful at all. The wifi connection was not sufficient and watching recorded sessions is what I will be doing from now on. ,I am confused with functions. I am okey with installing phyton. ,I do not understand,I do not understand,I do not understand,I believe that I need to do a lot of practice to be successful at this course. ,1009824068.0,LEC0102,TUT0107,PRA0107,Industrial,False,LEC0102,False,True,i feel that lectures were bot helpful at all  the wifi connection was not sufficient and watching recorded sessions is what i will be doing from now on  ,1.8,3.0
13,"APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241","320307, 320129, 320246","APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241",2024-01-22 04:59:05 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm)",I was working on assignments for this course,I prefer the scheduling of the lectures in another section(s),Trying to solve the breakout problems,"Minori (TUT0102\, Tuesday\, 3 - 4 pm)",LEC0103 - Beck Lecture Recording,"PRA0106\, Friday\, 3 - 5 pm",2-4 hours,No,I am starting to fall behind,good,,I somewhat understand,I somewhat understand,I somewhat understand,good,1009852571.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,good,1.9,2.0
14,"APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241","320299, 320239, 320111","APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241",2024-01-22 04:58:20 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,"PRA0104\, Thursday\, 12 - 2 pm",Less than 2 hour,Yes,I am starting to fall behind,Behind,writing functions,I do not understand,I do not understand,I do not understand,"I like the style of the lectures, however I would appreciate it if the professors took more time to explain the thought processes behind writing the answer code to the Jupyter Notebook questions. I feel like sometimes the professors may explain and type the code into the computer very fast and as a result it can be hard for me to learn in lectures.",1010161343.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,behind,0.0,3.0
15,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241","320129, 320315, 320253","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241",2024-01-22 04:56:55 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm)",Other,Other,Other,"Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,8+,Yes,I am up-to-date,Curious,,I completely understand,I completely understand,I completely understand,,1008806160.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,curious,1.3,2.0
16,"APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241","320262, 320323, 320149","APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241",2024-01-22 04:55:56 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0107\, Monday\, 9 - 11 am",Less than 2 hour,Yes,I am up-to-date,Excited!,None so far!,I completely understand,I completely understand,I completely understand,The lectures are very easy to follow and make Python very intuituve!,1010177434.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,excited ,1.4,3.0
17,"APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241","320168, 320276, 320111","APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241",2024-01-22 04:52:48 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Other",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,"PRA0102\, Wednesday\, 1 - 3 pm",Less than 2 hour,Yes,I am up-to-date,good,no,I somewhat understand,I somewhat understand,I somewhat understand,everything is good so far,1009613223.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,good,1.9,1.0
18,"APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241","320168, 320111, 320276","APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241",2024-01-22 04:48:35 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was working on assignments for this course","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am starting to fall behind,Challenged,Return function,I completely understand,I somewhat understand,I do not understand,,1010242239.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,challenged,-0.4,2.0
19,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241","320111, 320299, 320239","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241",2024-01-22 04:40:58 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was working on assignments for this course","Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,"PRA0102\, Wednesday\, 1 - 3 pm",2-4 hours,Yes,I am starting to fall behind,Excited,local and global variables,I completely understand,I completely understand,I somewhat understand,The breakout problems are a great way to remain engaged with the lectures and re good checkpoints.,1010256820.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,excited,1.4,3.0
20,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241","320129, 320315, 320253","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241",2024-01-22 04:40:19 UTC,I did not attend any lectures this week,The lecture room is not conducive to learning,Other,,"Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",,"PRA0106\, Friday\, 3 - 5 pm",Less than 2 hour,No,I am up-to-date,Confident,,I completely understand,I completely understand,I completely understand,,1010546385.0,LEC0102,TUT0106,PRA0106,Mechanical,False,False,False,False,confident,2.2,0.0
21,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241","320129, 320323, 320262","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241",2024-01-22 04:38:23 UTC,"Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",Other,I prefer the scheduling of the lectures in another section(s),"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,I was working on assignments for this course","Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0107\, Monday\, 9 - 11 am",2-4 hours,Yes,I am up-to-date,Alright,The math module as it is new to me,I somewhat understand,I completely understand,I completely understand,"So far the course has been straightforward as I've been familiar with most of the material taught. However, the math module was new, so I will look to further familiarize myself with this.",1009823498.0,LEC0101,TUT0107,PRA0107,Industrial,False,LEC0102,False,False,alright,1.0,2.0
22,"APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241","320285, 320111, 320224","APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241",2024-01-22 04:35:10 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm)",The lectures are not an effective learning tool for me,I prefer the teaching style in another section(s),Following the lecture by looking at the content and listening to the instructor,"Katia (TUT0104\, Monday\, 10 - 11 am)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0107\, Monday\, 9 - 11 am",Less than 2 hour,Yes,I am up-to-date,i dont want to take this survey anymore,boring survey,I somewhat understand,I completely understand,I somewhat understand,very well!,1008911055.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,i dont want to take this survey anymore,0.3,1.0
23,"APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241","320231, 320111, 320294","APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241",2024-01-22 04:27:58 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0103\, Monday\, 1 - 3 pm",Less than 2 hour,No,I am up-to-date,Interested,"local and global functions, using modules",I somewhat understand,I completely understand,I somewhat understand,"It goes very fast at times, although overall the pace is pretty good, sometimes the instructor speeds up (talks or scrolls too fast) but this isn't a major issue as it doesn't happen extremely often and you can still mostly keep up. I'm grateful for the access to jupyter notebook files and I hope this access is always continued. I would like to see some more connection between what we are doing in class and what we will do in our labs. Also the labs being released Thursday evening feels a bit inconvenient and strange to some of us, but again, not a major issue.",1010162315.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,interested,1.7,3.0
24,"APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241","320253, 320129, 320315","APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241",2024-01-22 04:20:03 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm)",Other,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,I was working on assignments and/or projects for another course","Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,"PRA0106\, Friday\, 3 - 5 pm",2-4 hours,No,I am up-to-date,excited,combining functions,I completely understand,I completely understand,I somewhat understand,,1010708628.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,excited,1.4,2.0
25,"APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241","320276, 320168, 320111","APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241",2024-01-22 04:12:42 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",The lecture room is not conducive to learning,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am starting to fall behind,I think that the reading material from the textbook is a little too much and time consuming just for one week however it is pretty helpful. The practise problem on Friday's lecture was a good way of understanding the material but the professor was going at a faster pace than expected and i wasn't able to code along with him.,"modulo

calling functions",I completely understand,I somewhat understand,I somewhat understand,,1009889845.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,i think that the reading material from the textbook is a little too much and time consuming just for one week however it is pretty helpful  the practise problem on friday s lecture was a good way of understanding the material but the professor was going at a faster pace than expected and i wasn t able to code along with him ,4.2,2.0
26,"APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241","320285, 320224, 320111","APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241",2024-01-22 04:08:51 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",I did not use or plan to use any recorded material this week,"PRA0103\, Monday\, 1 - 3 pm",Less than 2 hour,No,I am up-to-date,"It was interesting to code my own function in Python. There are lots of built-in functions in python but still limited. Since we can create any function, it was useful to use them when we debug the code. ","I am satisfied with the materials from this week. I had a little struggle creating my own functions in the beginning, but I got used to it as I kept practicing. ",I somewhat understand,I completely understand,I completely understand,I am happy with the flow of the course so far.,1007937681.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,"it was interesting to code my own function in python  there are lots of built in functions in python but still limited  since we can create any function, it was useful to use them when we debug the code  ",3.8,2.0
27,"APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241","320231, 320294, 320111","APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241",2024-01-22 04:08:49 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",,,,Less than 2 hour,No,I am up-to-date,good,,I completely understand,I completely understand,I completely understand,,1009953757.0,LEC0101,TUT0103,PRA0103,Mechanical,LEC0101,False,False,True,good,1.9,3.0
