,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,tutorial_sections,video_materials,practical_sections,practice_problems,progress_check,comment_one_word,confused_topics,midterm_prepare,midterm_surprise,string_methods_check,string_indexing_check,feedback,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
10,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241","320129, 320315, 320253","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241",2024-02-12 05:20:34 UTC,I did not attend any lectures this week,Other,,Other,,LEC0102 - Moosavi Lecture Recording,"PRA0106\, Friday\, 3 - 5 pm",No,I am up-to-date,Good,,Skule past papers,The last question with taylor series,I completely understand,I completely understand,,1010546385.0,LEC0102,TUT0106,PRA0106,Mechanical,False,False,False,False,good,1.9,0.0
11,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0103-20241","320129, 320276, 320231","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0103-20241",2024-02-12 05:18:41 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,I prefer the teaching style in another section(s),"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Katia (TUT0104\, Monday\, 10 - 11 am)",,"PRA0105\, Friday\, 3 - 5 pm",Yes,I am up-to-date,Good,,,,I somewhat understand,I somewhat understand,,1009900412.0,LEC0101,TUT0101,PRA0103,Track-One,LEC0101,False,False,True,good,1.9,3.0
12,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241","320129, 320253, 320315","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241",2024-02-12 05:12:08 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)","I was studying for a term test for this course,I was studying for a term test for another course",,Following the lecture by looking at the content and listening to the instructor,"Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",LEC0102 - Moosavi Lecture Recording,"PRA0106\, Friday\, 3 - 5 pm",Yes,I have fallen behind,Tired,Loops,"Tutorial notes were helpful

Past midterms were not",The difficulty level of the last two questions ,I do not understand,I do not understand,Nothing,1010724646.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,tired,-1.9,3.0
13,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0101-20241","320129, 320285, 320168","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0101-20241",2024-02-12 05:09:01 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0110 (Online)\, Friday\, 6 - 8 pm",Yes,I am starting to fall behind,Alright.,While Loops.,I studied off the past exams.,The difficulty of the questions.,I somewhat understand,I somewhat understand,None at the moment.,1009045846.0,LEC0102,TUT0102,PRA0101,Chemical,False,LEC0102,False,True,alright ,1.0,3.0
14,"APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241","320285, 320111, 320224","APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241",2024-02-12 05:07:32 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am starting to fall behind,Tired,,"To prepare, I did a lot of practice on chapters 1, 2, 3, 7 of the zyBooks interactive textbook. I found the textbook to be extremely well-written and informative. Additionally, I completed most past Term Test questions, and discussed my answers with peers. The inverse hyperbolic tangent problem recommended in class was extremely helpful and applicable to the Taylor series question on the midterm.",The Fibonacci question was a surprisingly difficult question to logically grasp and translate into code.,I somewhat understand,I somewhat understand,Professors Kinsella and Goodfellow structure their lectures in interactive ways that makes me look forward to attending class.,1010143792.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,tired,-1.9,3.0
15,"APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241","320224, 320285, 320111","APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241",2024-02-12 05:07:31 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,Following the lecture by looking at the content and listening to the instructor,"Minori (TUT0102\, Tuesday\, 3 - 4 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am starting to fall behind,GOod. ,No. ,Jupiter notes and slides. ,Fibonacci. ,I somewhat understand,I completely understand,Good. ,1010078951.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,good  ,1.9,3.0
16,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241","320129, 320246, 320307","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241",2024-02-12 05:06:13 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm)","The lectures are not an effective learning tool for me,I was studying for a term test for another course,I was working on assignments and/or projects for another course",,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,Distracted with non-academic activities,I was studying for a term test for another course,I was working on assignments and/or projects for another course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am up-to-date,Uninterested,,Practiced with Term Test 1 from 2023,"I briefly forgot what the ""//"" operator was",I completely understand,I completely understand,,1010173857.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,uninterested,0.0,1.0
17,"APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241","320323, 320262, 320149","APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241",2024-02-12 05:06:05 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Minori (TUT0107\, Monday\, 2 - 3 pm)",LEC0103 - Beck Lecture Recording,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,More Interesting.,object,"Going through the tutorial slides

Doing past exams

Studying with friends together 

Going to review session",The Taylor Series.,I completely understand,I completely understand,"I hope that the TA can still work as before the term test, which helped me a lot.",1009919313.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,more interesting ,1.7,3.0
18,"APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241","320149, 320323, 320262","APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241",2024-02-12 05:03:16 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,confident,,Did past exams,Not really,I completely understand,I completely understand,,1008882755.0,LEC0103,TUT0107,PRA0107,Industrial,LEC0101,False,False,False,confident,2.2,3.0
19,"APS106H1-S-TUT0106-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0106-20241","320315, 320149, 320253","APS106H1-S-TUT0106-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0106-20241",2024-02-12 05:02:35 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm)","I was studying for a term test for another course,The lecture times make them challenging to regularly attend",Other,Coding along with the instructor on my device,I did not attend any tutorials this week,"LEC0103 - Beck Lecture Recording,TUT0109 (Online) - Katia Ossetchkina Tutorial Recording",I did not attend any lab/practical sessions this week,Yes,I am up-to-date,relieved ,,I found the past midterms and the practice problems that i worked through during the semester quite helpful.,"It was longer and more difficult than i had prepared for, compared to previous midterms i had used as reference. ",I somewhat understand,I somewhat understand,"The online access to material is very helpful, however i’d find it helpful if we could have access to more past midterm solutions to prepare for midterm 2.",,,,,,False,False,LEC0103,False,relieved ,0.0,1.0
20,"APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241","320323, 320262, 320149","APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241",2024-02-12 05:01:43 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Minori (TUT0107\, Monday\, 2 - 3 pm)",,I did not attend any lab/practical sessions this week,No,I am up-to-date,confident,,I prepared by studying tutorial content and past midterms. ,A few of the multiple choice questions surprised me. The question containing ord and char surprised me. ,I completely understand,I completely understand,,1010160674.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,confident,2.2,3.0
21,"APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241","320285, 320111, 320224","APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241",2024-02-12 05:01:17 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm)",The lectures are not an effective learning tool for me,I prefer the teaching style in another section(s),Following the lecture by looking at the content and listening to the instructor,"Katia (TUT0104\, Monday\, 10 - 11 am)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0105\, Friday\, 3 - 5 pm",Yes,I am up-to-date,ok fine,ok fine,ok fine,ok fine,I somewhat understand,I somewhat understand,fineeeee,1008911055.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,ok fine,2.2,1.0
22,"APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241","320262, 320323, 320149","APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241",2024-02-12 05:01:01 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am up-to-date,Fine,Loops,"Previous Midterms, and using the textbook.","difficulty of understanding how to make a function that can model the fibonacci sequence, and the taylor series.",I somewhat understand,I somewhat understand,,1009907861.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,fine,0.8,3.0
23,"APS106H1-S-TUT0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241","320328, 320149, 320262","APS106H1-S-TUT0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241",2024-02-12 05:00:53 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)","The lectures are not an effective learning tool for me,I was studying for a term test for this course",Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Katia (TUT0108\, Tuesday\, 9 - 10 am)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,Intereting,Everything is fine for this week,By looking through the past papers and listening to the tutorial and lecture reviews.,The appearing of Taylor series is surprising for me to see it on the midterm.,I completely understand,I completely understand,The lectures are great until now!,1009828778.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,intereting,0.0,3.0
24,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241","320111, 320262, 320323","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241",2024-02-12 05:00:32 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Minori (TUT0107\, Monday\, 2 - 3 pm)",,"PRA0105\, Friday\, 3 - 5 pm",Yes,I am up-to-date,Great.,Loops ,"I looked through the lecture notes, tutorial slides, practice problems and past papers. 

Nothing was helpful enough to prepare me for the term test. The questions were completely unexpected and nothing like the past papers. It felt like I studied so hard and did everything I could have for nothing. ","Yes, we never learnt about how to code for Fibonacci series, I got to know after the exam that we were supposed to use 2 loops in order to get the correct answer. My brain was not trained enough to figure that out during the exam because there were no such similar questions in the labs, practice problems or the lecture notes. It was completely unfair to us to give such unexpected questions in a term test knowing that all the students are beginners at coding.  ",I somewhat understand,I do not understand,,1009810769.0,LEC0101,TUT0107,PRA0107,Industrial,LEC0101,False,False,True,great ,3.1,3.0
25,"APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241","320231, 320111, 320328","APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241",2024-02-12 04:53:47 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",I was studying for a term test for another course,,Following the lecture by looking at the content and listening to the instructor,,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,Good,,Lecture slides and review slides,,I completely understand,I completely understand,,1009797034.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,good,1.9,2.0
26,"APS106H1-S-TUT0107-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0101-20241","320323, 320270, 320111","APS106H1-S-TUT0107-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0101-20241",2024-02-12 04:48:12 UTC,"Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm)",I was working on assignments for this course,I prefer the teaching style in another section(s),I was studying for a term test for this course,"Minori (TUT0102\, Tuesday\, 3 - 4 pm)",TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,I did not attend any lab/practical sessions this week,No,I am starting to fall behind,Normal,Strings ,Pretty bad need more time,"The //thing on the midterm, I didn’t remember it ",I somewhat understand,I somewhat understand,That s it ,,,,,,False,LEC0102,False,False,normal,0.0,1.0
27,"APS106H1-S-TUT0101-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0101-20241","320276, 320270, 320111","APS106H1-S-TUT0101-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0101-20241",2024-02-12 04:44:05 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,Great,,"As I did not purchase the book, I studied by reviewing jupyter notebooks, past papers, tutorials and practice questions","Yes, I think the term test this year of APS 106 is more challenging than the previous year which caught me off guard",I completely understand,I completely understand,,1009799746.0,LEC0101,TUT0101,PRA0108,Track-One,LEC0101,False,False,True,great,3.1,2.0
