,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,video_materials,practice_problems,progress_check,comment_one_word,confused_topics,previous_exp,aps106_future_use,coding_future,python_setup,languages,variable_check,expression_check,operator_check,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
10,"APS106H1-S-TUT0107-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0101-20241","320323, 320270, 320111","APS106H1-S-TUT0107-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0101-20241",2024-01-15 05:02:01 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Coding along with the instructor on my device,Trying to solve the breakout problems",LEC0101 - Kinsella & Goodfellow Lecture Recording,No,I am up-to-date,Beginning ,Installing pythons,I can write some code but just the basics,5 (Always),Not sure,Yes,"Python,Java,HTML/CSS",I somewhat understand,I somewhat understand,I somewhat understand,,,,,,LEC0101,False,False,False,beginning ,0.0,3.0
11,"APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241","320307, 320129, 320246","APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241",2024-01-15 04:58:09 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,Following the lecture by looking at the content and listening to the instructor,LEC0102 - Moosavi Lecture Recording,Yes,I am up-to-date,coolin,,I have never written a single line of computer code,2,Not sure,Yes,,I somewhat understand,I somewhat understand,I somewhat understand,1009793653.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,coolin,0.0,3.0
12,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241","320111, 320231, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241",2024-01-15 04:48:31 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",None,Yes,I am up-to-date,Excited ,I’m not confused yet haha ,I can write some code but just the basics,4,Yes,Yes,"Python,HTML/CSS,Other",I somewhat understand,I somewhat understand,I somewhat understand,1010461411.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,excited ,0.0,3.0
13,"APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241","320224, 320285, 320111","APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241",2024-01-15 04:46:06 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,Following the lecture by looking at the content and listening to the instructor,None,Yes,I am starting to fall behind,Curious ,"The cloud notebooks 

navigating the anaconda software ",I have never written a single line of computer code,1 (Never),No,Yes,Other,I somewhat understand,I somewhat understand,I somewhat understand,1008897375.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,curious ,0.0,2.0
14,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241","320111, 320231, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241",2024-01-15 04:45:45 UTC,,Other,,,LEC0101 - Kinsella & Goodfellow Lecture Recording,No,I am up-to-date,New,operators,I can write some code but just the basics,3,Yes,Yes,"Python,C/C++",I completely understand,I somewhat understand,I do not understand,1010019542.0,LEC0101,TUT0103,PRA0103,Mechanical,LEC0101,LEC0102,LEC0103,True,new,0.0,
15,"APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241","320253, 320129, 320315","APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241",2024-01-15 04:43:59 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)","I was working on assignments for this course,The lecture room is not conducive to learning","I prefer the teaching style in another section(s),Other","Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Distracted with non-academic activities,I was working on assignments for this course",None,No,I am up-to-date,Optimistic,It's too early to tell,I have never written a single line of computer code,2,Not sure,Yes,"Matlab,HTML/CSS",I somewhat understand,I somewhat understand,I somewhat understand,1010260600.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,optimistic,1.3,3.0
16,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241","320129, 320315, 320253","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241",2024-01-15 04:43:48 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,Following the lecture by looking at the content and listening to the instructor,LEC0102 - Moosavi Lecture Recording,No,I am up-to-date,Confident ,Using api,I can write some code but just the basics,3,Yes,Yes,Python,I completely understand,I completely understand,I completely understand,1010442442.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,confident ,0.0,3.0
17,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241","320129, 320246, 320307","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241",2024-01-15 04:32:25 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Trying to solve the breakout problems",None,Yes,I am starting to fall behind,Introductory,variable id,I can write code at an intermediate level,4,Not sure,Yes,"Python,Matlab,HTML/CSS",I somewhat understand,I somewhat understand,I somewhat understand,1009926387.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,introductory,0.0,3.0
18,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241","320111, 320224, 320285","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241",2024-01-15 04:27:22 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,Following the lecture by looking at the content and listening to the instructor,,No,I am starting to fall behind,"I am feel optimistic about my future learning in coding, but also understand that the teaching pace will be quite fast. This is a little concerning as a first time programmer, but i will do my best to keep up and watch recordings if necessary. ",jupyter notebooks,I have never written a single line of computer code,3,Not sure,Yes,Other,I somewhat understand,I somewhat understand,I somewhat understand,1010212949.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,i am feel optimistic about my future learning in coding  but also understand that the teaching pace will be quite fast  this is a little concerning as a first time programmer  but i will do my best to keep up and watch recordings if necessary  ,4.5,3.0
19,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241","320149, 320253, 320315","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241",2024-01-15 04:24:37 UTC,"Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",None,Yes,I am starting to fall behind,Engaged,"Setting up python, Jupyter notebooks etc. ",I can write some code but just the basics,3,Yes,Yes,"Matlab,Java,Javascript,HTML/CSS",I completely understand,I completely understand,I completely understand,,,,,,False,False,LEC0103,False,engaged,1.7,2.0
20,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241","320129, 320315, 320253","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241",2024-01-15 04:21:36 UTC,"Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",The lecture room is not conducive to learning,I prefer the room of the lectures in another section(s),"Following the lecture by looking at the content and listening to the instructor,Distracted with non-academic activities",None,Yes,I am starting to fall behind,Unmotivated ,installing python,I have never written a single line of computer code,4,Yes,No,,I completely understand,I completely understand,I somewhat understand,1010724646.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,unmotivated ,0.0,2.0
21,"APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241","320294, 320231, 320111","APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241, APS106H1-S-LEC0101-20241",2024-01-15 04:13:36 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,Following the lecture by looking at the content and listening to the instructor,LEC0101 - Kinsella & Goodfellow Lecture Recording,No,I am up-to-date,It's a new area for me since I have never learned programming before. But I feel confident after attending lectures. I can understand the course materials.,So far so good.,I can write some code but just the basics,5 (Always),Yes,Yes,"Python,Matlab,Java",I completely understand,I completely understand,I completely understand,1010125972.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,it s a new area for me since i have never learned programming before  but i feel confident after attending lectures  i can understand the course materials ,2.2,3.0
22,"APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241","320149, 320328, 320270","APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241",2024-01-15 03:55:58 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",Other,I prefer the teaching style in another section(s),Following the lecture by looking at the content and listening to the instructor,None,Yes,I am up-to-date,Interested ,Installing and using Jupyter notebook,I can write some code but just the basics,3,Yes,Yes,"Matlab,Other",I somewhat understand,I somewhat understand,I somewhat understand,1010215107.0,LEC0103,TUT0108,PRA0108,Materials,LEC0101,False,LEC0103,True,interested ,0.0,3.0
23,"APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241","320149, 320323, 320262","APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241",2024-01-15 03:55:35 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm)",,,Following the lecture by looking at the content and listening to the instructor,None,Yes,I am up-to-date,Confident,"No confusion: everything is very clear in terms of course setup, deliverables, and lecture content. ",I have never written a single line of computer code,2,Not sure,Yes,Matlab,I completely understand,I completely understand,I completely understand,1010142105.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,confident,2.2,1.0
24,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241","320149, 320231, 320328","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241",2024-01-15 03:54:14 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,Following the lecture by looking at the content and listening to the instructor,LEC0101 - Kinsella & Goodfellow Lecture Recording,Yes,I am up-to-date,I felt better and less afraid of coding. ,installing python,I can write some code but just the basics,5 (Always),Yes,Haven't tried,"Matlab,Javascript",I completely understand,I somewhat understand,I somewhat understand,1008923097.0,LEC0103,TUT0108,PRA0103,Industrial,False,False,LEC0103,True,i felt better and less afraid of coding  ,1.9,3.0
25,"APS106H1-S-LEC0103-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0105-20241","320149, 320299, 320246","APS106H1-S-LEC0103-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0105-20241",2024-01-15 03:46:41 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",None,Yes,I am up-to-date,"Anxious, a combination of nervousness and excitement",Jupyter notebook ,I can write some code but just the basics,3,Not sure,Yes,"Python,Other",I completely understand,I completely understand,I somewhat understand,,,,,,False,LEC0102,LEC0103,False,anxious  a combination of nervousness and excitement,0.0,3.0
26,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241","320129, 320253, 320315","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241",2024-01-15 03:42:59 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",None,Yes,I have fallen behind,Excited,While loops,I have never written a single line of computer code,3,Not sure,Yes,Python,I completely understand,I somewhat understand,I somewhat understand,1010001855.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,excited,1.4,3.0
27,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241, APS106H1-S-PRA0105-20241","320129, 320307, 320246","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241, APS106H1-S-PRA0105-20241",2024-01-15 03:41:30 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device",,Yes,I am up-to-date,good,,I can write code at an intermediate level,5 (Always),Yes,Yes,"Python,Matlab,C/C++,Java,Javascript,HTML/CSS,Other",I completely understand,I completely understand,I completely understand,1010249893.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,good,1.9,3.0
28,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241","320111, 320285, 320224","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241",2024-01-15 03:41:21 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,,"Following the lecture by looking at the content and listening to the instructor,Trying to solve the breakout problems,Distracted with non-academic activities",None,Yes,I am up-to-date,Excited.,Installing jupyter was a bit of a hassle.,I can write some code but just the basics,3,Yes,Haven't tried,"Matlab,HTML/CSS",I completely understand,I completely understand,I completely understand,,,,,,LEC0101,False,False,False,excited ,1.4,2.0
29,"APS106H1-S-PRA0103-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0103-20241","320231, 320149, 320294","APS106H1-S-PRA0103-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0103-20241",2024-01-15 03:40:06 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm)",Other,Other,Following the lecture by looking at the content and listening to the instructor,None,No,I have fallen behind,Excited,,I can write code at an intermediate level,5 (Always),Yes,Haven't tried,"Matlab,C/C++,Java,Javascript,HTML/CSS",I completely understand,I completely understand,I completely understand,1010008073.0,LEC0101,TUT0103,PRA0103,Mechanical,LEC0101,False,False,True,excited,1.4,1.0
30,"APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241","320323, 320262, 320149","APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241",2024-01-15 03:39:23 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",Other,Other,Following the lecture by looking at the content and listening to the instructor,None,Yes,I am up-to-date,Excited ,None,I have never written a single line of computer code,5 (Always),Not sure,Yes,Other,I completely understand,I somewhat understand,I somewhat understand,1010420929.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,excited ,0.0,3.0
31,"APS106H1-S-PRA0102-20241, APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241","320224, 320315, 320129","APS106H1-S-PRA0102-20241, APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241",2024-01-15 03:36:59 UTC,"Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm)",Other,,Coding along with the instructor on my device,None,No,I am starting to fall behind,Excited ,Installing Python,I can write some code but just the basics,2,Yes,Yes,"Python,Matlab,C/C++,HTML/CSS",I somewhat understand,I somewhat understand,I somewhat understand,1009639303.0,LEC0102,TUT0106,PRA0102,Industrial,False,LEC0102,False,True,excited ,0.0,1.0
