,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,tutorial_sections,video_materials,practical_sections,practical_time_spent,practice_problems,progress_check,comment_one_word,confused_topics,midterm_review,function_return_check,while_loop_check,feedback,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
10,"APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241","320262, 320323, 320149","APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241, APS106H1-S-LEC0103-20241",2024-02-05 05:12:36 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0107\, Monday\, 9 - 11 am",2-4 hours,Yes,I am up-to-date,Nervous,lazy evaluation,Somewhat prepared,I completely understand,I completely understand,The instruction and tutorials are comprehensive and easy to follow! Thank you:),1010177434.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,nervous,-1.1,3.0
11,"APS106H1-S-TUT0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241","320328, 320149, 320262","APS106H1-S-TUT0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241",2024-02-05 05:08:29 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Katia (TUT0108\, Tuesday\, 9 - 10 am),Katia (TUT0109 Online\, Thursday\, 5 - 6 pm)",I did not use or plan to use any recorded material this week,"PRA0107\, Monday\, 9 - 11 am",Less than 2 hour,Yes,I am up-to-date,Clear,"String Comparison, While loop, Functions",Somewhat prepared,I completely understand,I completely understand,The concepts are clear enough for me!,1009828778.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,clear,1.6,3.0
12,"APS106H1-S-PRA0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241","320246, 320129, 320307","APS106H1-S-PRA0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0105-20241",2024-02-05 05:03:27 UTC,"Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm),Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm)","I was working on assignments and/or projects for another course,The lecture times make them challenging to regularly attend",I prefer the scheduling of the lectures in another section(s),I was working on assignments and/or projects for another course,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,fine ,,Somewhat prepared,I completely understand,I completely understand,,1009897649.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,LEC0103,True,fine ,0.0,3.0
13,"APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241","320270, 320149, 320328","APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241",2024-02-05 05:01:15 UTC,"Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm)",The lectures are not an effective learning tool for me,I prefer the scheduling of the lectures in another section(s),"Following the lecture by looking at the content and listening to the instructor,Trying to solve the breakout problems","Katia (TUT0108\, Tuesday\, 9 - 10 am)",LEC0103 - Beck Lecture Recording,"PRA0108\, Thursday\, 12 - 2 pm",Less than 2 hour,No,I am starting to fall behind,hard,while loops,Somewhat prepared,I do not understand,I somewhat understand,lots of things to remember,1009086917.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,hard,-0.4,1.0
14,"APS106H1-S-PRA0106-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0103-20241","320253, 320328, 320149","APS106H1-S-PRA0106-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0103-20241",2024-02-05 05:00:06 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,Other,Coding along with the instructor on my device,"Katia (TUT0109 Online\, Thursday\, 5 - 6 pm)",TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,"PRA0110 (Online)\, Friday\, 6 - 8 pm",Less than 2 hour,Yes,I am starting to fall behind,cool,,Somewhat prepared,I somewhat understand,I somewhat understand,,1009851028.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,cool,1.3,3.0
15,"APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241","320328, 320111, 320231","APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241",2024-02-05 04:57:24 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Coding along with the instructor on my device,I was working on assignments for this course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,Confident,,Very prepared,I completely understand,I completely understand,,1009831194.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,confident,2.2,3.0
16,"APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241","320285, 320111, 320224","APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0102-20241",2024-02-05 04:55:18 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",I was studying for a term test for this course,I prefer the scheduling of the lectures in another section(s),Following the lecture by looking at the content and listening to the instructor,"Katia (TUT0109 Online\, Thursday\, 5 - 6 pm)",LEC0103 - Beck Lecture Recording,"PRA0102\, Wednesday\, 1 - 3 pm",Less than 2 hour,Yes,I am starting to fall behind,nope,nope,Somewhat prepared,I completely understand,I somewhat understand,nope,1008911055.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,nope,0.0,1.0
17,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0106-20241","320129, 320276, 320253","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0106-20241",2024-02-05 04:46:05 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0106\, Friday\, 3 - 5 pm",Less than 2 hour,Yes,I am up-to-date,Tired,Nothing at this moment ,Somewhat prepared,I completely understand,I completely understand,None ,1008616847.0,LEC0102,TUT0101,PRA0106,Mechanical,False,LEC0102,False,True,tired,-1.9,3.0
18,"APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241","320299, 320239, 320111","APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241",2024-02-05 04:44:10 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,2-4 hours,Yes,I am up-to-date,good,while loops,Somewhat prepared,I somewhat understand,I somewhat understand,"I enjoy the current lecture style. One thing that could improve the lectures is taking more time for practice problems during lectures, specifically when typing the code into the Jupyter Notebook.",1010161343.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,good,1.9,3.0
19,"APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241","320246, 320307, 320129","APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241",2024-02-05 04:43:55 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Amirhossein (TUT0105\, Tuesday\, 4 - 5 pm)",,"PRA0105\, Friday\, 3 - 5 pm",Less than 2 hour,No,I am up-to-date,,,Somewhat prepared,I somewhat understand,I somewhat understand,,1009864210.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,nan,0.0,3.0
20,"APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241","320239, 320299, 320111","APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241",2024-02-05 04:37:19 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,happy,,Somewhat prepared,I completely understand,I completely understand,,1010082688.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,happy,2.7,3.0
21,"APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241","320231, 320294, 320111","APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-LEC0101-20241",2024-02-05 04:33:44 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,,,I did not use or plan to use any recorded material this week,,Less than 2 hour,No,I am up-to-date,good,,Somewhat prepared,I somewhat understand,I somewhat understand,,1009953757.0,LEC0101,TUT0103,PRA0103,Mechanical,LEC0101,False,False,True,good,1.9,3.0
22,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241","320111, 320299, 320239","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241",2024-02-05 04:32:13 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",The lectures are not an effective learning tool for me,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,"PRA0104\, Thursday\, 12 - 2 pm",Less than 2 hour,Yes,I am starting to fall behind,"The practice problems were challenging, especially question 3 and I'm not sure why the logic isn't working.",While loops.,Somewhat prepared,I completely understand,I somewhat understand,,1010234792.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,"the practice problems were challenging, especially question 3 and i m not sure why the logic isn t working ",-0.3999999999999999,2.0
23,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241","320149, 320262, 320323","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241",2024-02-05 04:30:58 UTC,"Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",I was working on assignments and/or projects for another course,,Following the lecture by looking at the content and listening to the instructor,I did not attend any tutorials this week,,"PRA0107\, Monday\, 9 - 11 am",Less than 2 hour,No,I am starting to fall behind,Nervous,While loops and how to read them,Somewhat prepared,I completely understand,I somewhat understand,,1010555917.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,nervous,-1.1,2.0
24,"APS106H1-S-LEC0103-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0105-20241","320149, 320299, 320246","APS106H1-S-LEC0103-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0105-20241",2024-02-05 04:30:14 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Katia (TUT0104\, Monday\, 10 - 11 am)",TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,I did not attend any lab/practical sessions this week,2-4 hours,Yes,I am up-to-date,Kinda stressed for the midterm ,Loop logic,Somewhat prepared,I somewhat understand,I somewhat understand,It's been good!,,,,,,False,False,LEC0103,False,kinda stressed for the midterm ,-1.4,3.0
25,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0103-20241","320111, 320270, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0108-20241, APS106H1-S-TUT0103-20241",2024-02-05 04:27:40 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0108\, Thursday\, 12 - 2 pm",2-4 hours,No,I am up-to-date,Interested,,Somewhat prepared,I completely understand,I completely understand,"I like how the lectures and review session were conducted this week , it was really easy to engage and interesting. ",,,,,,LEC0101,False,False,False,interested,1.7,1.0
26,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241","320129, 320246, 320307","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241",2024-02-05 04:24:47 UTC,"Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm)","The lectures are not an effective learning tool for me,I was studying for a term test for another course,I was working on assignments and/or projects for another course",,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,Distracted with non-academic activities,I was working on assignments for this course,I was working on assignments and/or projects for another course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,Uninterested,,Somewhat prepared,I completely understand,I completely understand,,1010173857.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,uninterested,0.0,1.0
27,"APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241","320299, 320239, 320111","APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241",2024-02-05 04:19:04 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,good,,Very prepared,I completely understand,I completely understand,Taught well,1010210521.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,good,1.9,3.0
28,"APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241","320253, 320129, 320315","APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241",2024-02-05 04:11:45 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)","I was working on assignments and/or projects for another course,The lecture room is not conducive to learning",,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Distracted with non-academic activities,I was working on assignments and/or projects for another course","Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,"PRA0106\, Friday\, 3 - 5 pm",2-4 hours,Yes,I have fallen behind,Confusing,"The while loops, general coding logic.",Not prepared at all,I completely understand,I somewhat understand,,1010260600.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,confusing,-0.9,3.0
