,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,tutorial_sections,video_materials,practical_sections,practice_problems,progress_check,comment_one_word,confused_topics,for_loop_check,feedback,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
100,"APS106H1-S-PRA0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241","320168, 320299, 320111","APS106H1-S-PRA0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241",2024-02-18 20:49:22 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,"PRA0108\, Thursday\, 12 - 2 pm",No,I am starting to fall behind,complexer,"index and string manipulation

 ",I somewhat understand,,1010173036.0,LEC0101,TUT0104,PRA0101,Chemical,LEC0101,False,False,True,complexer,0.0,2.0
101,"APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241","320224, 320111, 320285","APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241",2024-02-18 20:46:57 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",I was working on assignments and/or projects for another course,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",,,"PRA0102\, Wednesday\, 1 - 3 pm",Yes,I am up-to-date,ok,,I somewhat understand,,1009840629.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,ok,1.4,2.0
102,"APS106H1-S-TUT0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241","320328, 320149, 320270","APS106H1-S-TUT0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241",2024-02-18 20:28:31 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm)",I was working on assignments and/or projects for another course,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,LEC0103 - Beck Lecture Recording,"PRA0108\, Thursday\, 12 - 2 pm",No,I am up-to-date,Interested.,None.,I completely understand,None.,1010174570.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,interested ,1.7,1.0
103,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241","320111, 320285, 320224","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241",2024-02-18 20:21:54 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",The lecture times make them challenging to regularly attend,Other,Following the lecture by looking at the content and listening to the instructor,I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,alright,none,I somewhat understand,none,1009886456.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,alright,1.0,2.0
104,"APS106H1-S-LEC0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0105-20241","320149, 320294, 320246","APS106H1-S-LEC0103-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0105-20241",2024-02-18 19:54:24 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)","I was working on assignments for this course,I was working on assignments and/or projects for another course",I prefer the scheduling of the lectures in another section(s),"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was working on assignments for this course",I did not attend any tutorials this week,TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,relieved,while vs for loops,I somewhat understand,,1010207081.0,LEC0103,TUT0103,PRA0105,Track-One,LEC0101,False,False,False,relieved,1.6,2.0
105,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0103-20241","320111, 320328, 320231","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0103-20241",2024-02-18 19:46:13 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0108\, Tuesday\, 9 - 10 am)",I did not use or plan to use any recorded material this week,"PRA0103\, Monday\, 1 - 3 pm",Yes,I am up-to-date,Plenty,,I somewhat understand,,1010155298.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,plenty,0.0,3.0
106,"APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241","320315, 320129, 320253","APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241",2024-02-18 19:45:05 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm)","I was studying for a term test for another course,I was working on assignments for this course,I was working on assignments and/or projects for another course",Other,"I was working on assignments for this course,I was working on assignments and/or projects for another course","Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,"PRA0105\, Friday\, 3 - 5 pm",No,I am starting to fall behind,behind,for loops,I somewhat understand,,1010482274.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,behind,0.0,2.0
107,"APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241","320315, 320253, 320129","APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241",2024-02-18 19:34:01 UTC,"Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",I was studying for a term test for another course,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,"PRA0110 (Online)\, Friday\, 6 - 8 pm",No,I am up-to-date,OK,,I completely understand,No other feedback,1010243014.0,LEC0102,TUT0106,PRA0106,Mechanical,False,LEC0102,False,True,ok,1.4,2.0
108,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241","320111, 320276, 320168","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241",2024-02-18 19:31:26 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",I was working on assignments for this course,Other,Other,"Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0101\, Thursday\, 10 - 12 pm,I did not attend any lab/practical sessions this week",Yes,I am up-to-date,Amazing ,For loops summary / overview ,I completely understand,more lecture relevant tutorial slides.,1010293193.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,amazing ,0.0,3.0
109,"APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241","320246, 320307, 320129","APS106H1-S-PRA0105-20241, APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241",2024-02-18 19:21:03 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Amirhossein (TUT0105\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,"PRA0105\, Friday\, 3 - 5 pm",No,I am up-to-date,Good,,I somewhat understand,,1009864210.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,good,1.9,3.0
110,"APS106H1-S-PRA0108-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241","320270, 320285, 320111","APS106H1-S-PRA0108-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241",2024-02-18 19:00:32 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",I was studying for a term test for another course,,"Following the lecture by looking at the content and listening to the instructor,I was working on assignments for this course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I have fallen behind,nervous,,I somewhat understand,,1009857120.0,LEC0101,TUT0102,PRA0108,Track-One,LEC0101,False,False,True,nervous,-1.1,1.0
111,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241","320111, 320285, 320224","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241",2024-02-18 18:37:04 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am up-to-date,string,string methods,I completely understand,,1009814024.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,string,0.0,3.0
112,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241","320111, 320231, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0103-20241, APS106H1-S-TUT0103-20241",2024-02-18 18:34:17 UTC,I did not attend any lectures this week,"The lectures are not an effective learning tool for me,The lecture room is not conducive to learning,Other",Other,Other,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,"PRA0103\, Monday\, 1 - 3 pm",Yes,I am up-to-date,Fun,struggling a bit with strings ,I completely understand,,1010146806.0,LEC0101,TUT0103,PRA0103,Civil,False,False,False,False,fun,2.3,0.0
113,"APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241","320231, 320328, 320111","APS106H1-S-PRA0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241",2024-02-18 18:33:43 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm)","I was studying for a term test for another course,I was working on assignments and/or projects for another course",,"Coding along with the instructor on my device,Trying to solve the breakout problems","Katia (TUT0108\, Tuesday\, 9 - 10 am)",,I did not attend any lab/practical sessions this week,No,I am starting to fall behind,Okay,Text objects,I completely understand,,1009854356.0,LEC0101,TUT0108,PRA0103,Mechanical,LEC0101,False,False,True,okay,0.9,1.0
114,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241","320111, 320168, 320276","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241",2024-02-18 18:28:02 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",I was working on assignments and/or projects for another course,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was working on assignments for this course","Amirhossein (TUT0101\, Wednesday\, 2 - 3 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,Yes,I am starting to fall behind,confident,for loops,I somewhat understand,if we can do more for loop examples that would be great,1009807416.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,confident,2.2,2.0
115,"APS106H1-S-TUT0107-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0101-20241","320323, 320270, 320111","APS106H1-S-TUT0107-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0101-20241",2024-02-18 18:18:09 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",The lecture times make them challenging to regularly attend,I prefer the scheduling of the lectures in another section(s),I was studying for a term test for this course,"Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",LEC0103 - Beck Lecture Recording,"PRA0104\, Thursday\, 12 - 2 pm",No,I am starting to fall behind,Feel excited ,That’s it,I somewhat understand,No other comments ,,,,,,LEC0101,False,False,False,feel excited ,0.0,2.0
116,"APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241","320299, 320111, 320239","APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0104-20241",2024-02-18 17:59:43 UTC,"Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)","I was working on assignments and/or projects for another course,The lecture times make them challenging to regularly attend",Other,I was studying for a term test for another course,"Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,Prepared,Test functions,I completely understand,"Great course, but midterms are a bit out of reach for beginners. ",1010709360.0,LEC0101,TUT0104,PRA0104,Civil,False,False,LEC0103,False,prepared,0.9,2.0
117,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241","320111, 320168, 320276","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241",2024-02-18 17:55:50 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,Harder ,For loops ,I somewhat understand,I wish the professors had gone over the breakout problems more slowly. ,1010392148.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,harder ,0.0,3.0
118,"APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241","320224, 320111, 320285","APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241",2024-02-18 16:48:01 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,I was working on assignments for this course","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",,I did not attend any lab/practical sessions this week,No,I have fallen behind,okay. definitely have some serious catching up to do. ,past two weeks ,I do not understand,,1010102096.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,okay  definitely have some serious catching up to do  ,2.3,3.0
119,"APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241","320262, 320149, 320323","APS106H1-S-PRA0107-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0107-20241",2024-02-18 16:00:47 UTC,I did not attend any lectures this week,Other,"I prefer the teaching style in another section(s),Other",Following the lecture by looking at the content and listening to the instructor,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I have fallen behind,absent,will have to catch up on for loops,I somewhat understand,none,1010242934.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,False,False,absent,0.0,0.0
120,"APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241","320270, 320149, 320328","APS106H1-S-PRA0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241",2024-02-18 15:52:29 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm)",I was working on assignments and/or projects for another course,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Katia (TUT0108\, Tuesday\, 9 - 10 am)",,"PRA0108\, Thursday\, 12 - 2 pm",Yes,I am up-to-date,,,I somewhat understand,,1010080225.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,nan,0.0,2.0
121,"APS106H1-S-PRA0107-20241, APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241","320262, 320307, 320129","APS106H1-S-PRA0107-20241, APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241",2024-02-18 15:48:29 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",I was studying for a term test for another course,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",I did not use or plan to use any recorded material this week,"PRA0107\, Monday\, 9 - 11 am",Yes,I am starting to fall behind,Ok,N.A,I somewhat understand,.,1008854018.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,ok,1.4,2.0
122,"APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241","320224, 320285, 320111","APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241",2024-02-18 15:47:04 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Minori (TUT0102\, Tuesday\, 3 - 4 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0102\, Wednesday\, 1 - 3 pm",Yes,I have fallen behind,Bad ,Everything of the last two weeks ,I somewhat understand,,1009817030.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,bad ,0.0,3.0
123,"APS106H1-S-TUT0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241","320328, 320149, 320270","APS106H1-S-TUT0108-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0108-20241",2024-02-18 15:44:00 UTC,I did not attend any lectures this week,Other,Other,Other,I did not attend any tutorials this week,"LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not use or plan to use any recorded material this week",I did not attend any lab/practical sessions this week,No,I have fallen behind,,,I do not understand,,1009135188.0,LEC0103,TUT0108,PRA0108,Materials,False,False,False,False,nan,0.0,0.0
124,"APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0103-20241","320111, 320168, 320294","APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-TUT0103-20241",2024-02-18 15:34:51 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was working on assignments for this course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,on-track,reading and writing strings.,I completely understand,the jupyter notebooks are very helpful.,1009827546.0,LEC0101,TUT0103,PRA0101,Civil,LEC0101,False,False,True,on track,0.0,2.0
125,"APS106H1-S-TUT0105-20241, APS106H1-S-PRA0105-20241, APS106H1-S-LEC0103-20241","320307, 320246, 320149","APS106H1-S-TUT0105-20241, APS106H1-S-PRA0105-20241, APS106H1-S-LEC0103-20241",2024-02-18 15:32:21 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,,I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,Yes,I am starting to fall behind,complicated,"many strings in a loop, also mathematics",I somewhat understand,fine,,,,,,False,False,LEC0103,False,complicated,0.0,3.0
126,"APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241","320253, 320129, 320315","APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241",2024-02-18 15:01:29 UTC,I did not attend any lectures this week,I was studying for a term test for another course,,,I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,Yes,I am starting to fall behind,Behind,function parameters ,I somewhat understand,"Very interesting course

 ",1010090508.0,LEC0102,TUT0106,PRA0106,Mechanical,False,False,False,False,behind,0.0,0.0
127,"APS106H1-S-TUT0103-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0103-20241","320294, 320149, 320231","APS106H1-S-TUT0103-20241, APS106H1-S-LEC0103-20241, APS106H1-S-PRA0103-20241",2024-02-18 13:29:04 UTC,"Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm)","I was working on assignments and/or projects for another course,Other","I prefer the scheduling of the lectures in another section(s),I prefer the room of the lectures in another section(s)","Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,"PRA0105\, Friday\, 3 - 5 pm",No,I am starting to fall behind,bored,,I somewhat understand,Have a great reading week! See you next week!,1010008073.0,LEC0101,TUT0103,PRA0103,Mechanical,False,LEC0102,False,False,bored,-1.1,1.0
128,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241","320111, 320276, 320168","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241",2024-02-18 09:54:56 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,No,I am up-to-date,harder,index,I somewhat understand,,1010440202.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,harder,0.0,3.0
129,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0103-20241","320111, 320285, 320231","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0102-20241, APS106H1-S-PRA0103-20241",2024-02-18 09:00:34 UTC,I did not attend any lectures this week,The lectures are not an effective learning tool for me,Other,Other,I did not attend any tutorials this week,"LEC0101 - Kinsella & Goodfellow Lecture Recording,TUT0109 (Online) - Katia Ossetchkina Tutorial Recording",I did not attend any lab/practical sessions this week,No,I am starting to fall behind,Curious,* While loops,I do not understand,,1006428126.0,LEC0101,TUT0102,PRA0103,Industrial,False,False,False,False,curious,1.3,0.0
130,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241","320111, 320294, 320231","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0103-20241, APS106H1-S-PRA0103-20241",2024-02-18 08:51:01 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",Other,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Rachel (TUT0103\, Wednesday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,Good,input,I somewhat understand,,1007695647.0,LEC0101,TUT0103,PRA0103,Civil,LEC0101,False,False,True,good,1.9,2.0
131,"APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241","320168, 320111, 320276","APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-TUT0101-20241",2024-02-18 08:49:28 UTC,I did not attend any lectures this week,The lectures are not an effective learning tool for me,Other,Other,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,,,I completely understand,,1010208204.0,LEC0101,TUT0101,PRA0101,Chemical,False,False,False,False,nan,0.0,0.0
132,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0101-20241","320111, 320323, 320168","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0101-20241",2024-02-18 08:19:06 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,Coding along with the instructor on my device,"Minori (TUT0107\, Monday\, 2 - 3 pm)",LEC0101 - Kinsella & Goodfellow Lecture Recording,"PRA0101\, Thursday\, 10 - 12 pm",Yes,I am up-to-date,hard,while,I somewhat understand,Coding ,1010004184.0,LEC0101,TUT0107,PRA0101,Chemical,LEC0101,False,False,True,hard,-0.4,3.0
133,"APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241","320253, 320129, 320315","APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241, APS106H1-S-TUT0106-20241",2024-02-18 07:27:19 UTC,I did not attend any lectures this week,"The lectures are not an effective learning tool for me,The lecture room is not conducive to learning",,,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Yes,I am up-to-date,Comfortable,,I completely understand,,1010211218.0,LEC0102,TUT0106,PRA0106,Mechanical,False,False,False,False,comfortable,2.3,0.0
