,section,section_id,section_sis_id,submitted,lecture_sections,lecture_reasons,lecture_alternate_section,hybrid_learning,tutorial_sections,video_materials,practical_sections,practical_time_spent,practice_problems,progress_check,comment_one_word,confused_topics,feedback,pandas_feedback,Person ID,Lecture,Tutorial,Practical,discipline,LEC0101_attended,LEC0102_attended,LEC0103_attended,lecture_assigned,cleaned_answer,polarity,lecture_count
10,"APS106H1-S-PRA0102-20241, APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241","320224, 320315, 320129","APS106H1-S-PRA0102-20241, APS106H1-S-TUT0106-20241, APS106H1-S-LEC0102-20241",2024-04-08 04:17:02 UTC,"Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",I was working on assignments and/or projects for another course,,Coding along with the instructor on my device,I did not attend any tutorials this week,,I did not attend any lab/practical sessions this week,2-4 hours,No,I have fallen behind,Confused ,,,,1009639303.0,LEC0102,TUT0106,PRA0102,Industrial,False,LEC0102,False,True,confused ,0.0,1.0
11,"APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241","320315, 320253, 320129","APS106H1-S-TUT0106-20241, APS106H1-S-PRA0106-20241, APS106H1-S-LEC0102-20241",2024-04-08 04:07:50 UTC,I did not attend any lectures this week,The lectures are not an effective learning tool for me,,,"Rachel (TUT0106\, Tuesday\, 4 - 5 pm)","TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,The Daily Pickle",I did not attend any lab/practical sessions this week,Less than 2 hour,Yes,I am up-to-date,relaxed,,,,1010423579.0,LEC0102,TUT0106,PRA0106,Mechanical,False,False,False,False,relaxed,2.2,0.0
12,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241","320149, 320262, 320323","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241",2024-04-08 04:06:23 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems","Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0107\, Monday\, 9 - 11 am",2-4 hours,No,I am up-to-date,Data!,retrieving data,So fun!,Very cool to see clean visual presentation of data!,1010177434.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,data ,0.0,3.0
13,"APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241","320276, 320168, 320111","APS106H1-S-TUT0101-20241, APS106H1-S-PRA0101-20241, APS106H1-S-LEC0101-20241",2024-04-08 04:04:34 UTC,I did not attend any lectures this week,Other,Other,I was working on assignments for this course,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am starting to fall behind,Ok,File read/write syntax,,,1010208204.0,LEC0101,TUT0101,PRA0101,Chemical,False,False,False,False,ok,1.4,0.0
14,"APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241","320276, 320111, 320168","APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241, APS106H1-S-PRA0101-20241",2024-04-08 04:04:31 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",I was working on assignments and/or projects for another course,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems",I did not attend any tutorials this week,"LEC0101 - Kinsella & Goodfellow Lecture Recording,The Daily Pickle",I did not attend any lab/practical sessions this week,2-4 hours,Yes,I have fallen behind,Slightly better,,,,1010401762.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,slightly better,1.9,2.0
15,"APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241","320239, 320299, 320111","APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241",2024-04-08 04:01:08 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,"Following the lecture by looking at the content and listening to the instructor,Trying to solve the breakout problems","Katia (TUT0104\, Monday\, 10 - 11 am)",,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,Great,"Pandas are a bit new to me, I will have to practice them a bit more before I can fully understand how to use them.",,"I think they are very cool and practical, but I definitely have to do some more practice with them.",1009897319.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,great,3.1,3.0
16,"APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241","320129, 320253, 320315","APS106H1-S-LEC0102-20241, APS106H1-S-PRA0106-20241, APS106H1-S-TUT0106-20241",2024-04-08 03:58:22 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm)",I was working on assignments and/or projects for another course,I prefer the room of the lectures in another section(s),Following the lecture by looking at the content and listening to the instructor,"Rachel (TUT0106\, Tuesday\, 4 - 5 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,2-4 hours,Yes,I am starting to fall behind,ok,,,,1010708628.0,LEC0102,TUT0106,PRA0106,Mechanical,False,False,LEC0103,False,ok,1.4,1.0
17,"APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241","320285, 320224, 320111","APS106H1-S-TUT0102-20241, APS106H1-S-PRA0102-20241, APS106H1-S-LEC0101-20241",2024-04-08 03:52:51 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",I was studying for a term test for another course,I prefer the scheduling of the lectures in another section(s),Distracted with non-academic activities,"Minori (TUT0102\, Tuesday\, 3 - 4 pm),Minori (TUT0107\, Monday\, 2 - 3 pm)",LEC0103 - Beck Lecture Recording,"PRA0101\, Thursday\, 10 - 12 pm",Less than 2 hour,No,I have fallen behind,difficult,difficult,difficult,difficult,1008911055.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,difficult,-1.5,3.0
18,"APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241","320239, 320299, 320111","APS106H1-S-PRA0104-20241, APS106H1-S-TUT0104-20241, APS106H1-S-LEC0101-20241",2024-04-08 03:52:02 UTC,I did not attend any lectures this week,Other,,,"Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I have fallen behind,Accomplished,pandas,More mentimeter!,Very practical in the real world ,1010316686.0,LEC0101,TUT0104,PRA0104,Civil,False,False,False,False,accomplished,1.9,0.0
19,"APS106H1-S-TUT0101-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241","320276, 320239, 320111","APS106H1-S-TUT0101-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241",2024-04-08 03:51:22 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)",Other,,"I was working on assignments for this course,I was working on assignments and/or projects for another course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am starting to fall behind,confused,,,,1009986810.0,LEC0101,TUT0101,PRA0104,Civil,LEC0101,False,False,True,confused,-1.3,2.0
20,"APS106H1-S-LEC0102-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241","320129, 320323, 320262","APS106H1-S-LEC0102-20241, APS106H1-S-TUT0107-20241, APS106H1-S-PRA0107-20241",2024-04-08 03:50:43 UTC,"Moosavi (LEC0102) - Lecture 1 (Monday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",Other,Other,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was studying for a term test for this course,I was studying for a term test for another course","Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,2-4 hours,Yes,I am up-to-date,Average,Pandas,"It is ok, I have started revising for the final.","It is the newest topic to me so I have not fully gotten used to it, but I'm working on becoming more familiar with it.",1009823498.0,LEC0101,TUT0107,PRA0107,Industrial,False,LEC0102,False,False,average,0.0,3.0
21,"APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241","320307, 320129, 320246","APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241",2024-04-08 03:46:20 UTC,"Moosavi (LEC0102) - Lecture 2 (Wednesday\, 3 - 4 pm),Moosavi (LEC0102) - Lecture 3 (Thursday\, 3 - 4 pm)",I was studying for a term test for another course,Other,Following the lecture by looking at the content and listening to the instructor,"Amirhossein (TUT0105\, Tuesday\, 4 - 5 pm)",LEC0102 - Moosavi Lecture Recording,"PRA0106\, Friday\, 3 - 5 pm",Less than 2 hour,No,I am starting to fall behind,,,,,1010249893.0,LEC0102,TUT0105,PRA0105,Mechanical,False,LEC0102,False,True,nan,0.0,2.0
22,"APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241","320224, 320285, 320111","APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241",2024-04-08 03:45:32 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",Other,Other,Following the lecture by looking at the content and listening to the instructor,"Minori (TUT0102\, Tuesday\, 3 - 4 pm)",I did not use or plan to use any recorded material this week,"PRA0102\, Wednesday\, 1 - 3 pm",Less than 2 hour,No,I have fallen behind,Bad. ,OOP. ,Good. ,Ok.,1010078951.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,bad  ,-2.5,3.0
23,"APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241","320149, 320262, 320323","APS106H1-S-LEC0103-20241, APS106H1-S-PRA0107-20241, APS106H1-S-TUT0107-20241",2024-04-08 03:43:41 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",The lecture room is not conducive to learning,,Following the lecture by looking at the content and listening to the instructor,"Minori (TUT0107\, Monday\, 2 - 3 pm)",I did not use or plan to use any recorded material this week,"PRA0102\, Wednesday\, 1 - 3 pm",4-8 hours,No,I am starting to fall behind,,,,,1008728432.0,LEC0103,TUT0107,PRA0107,Industrial,False,False,LEC0103,True,nan,0.0,3.0
24,"APS106H1-S-TUT0107-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0101-20241","320323, 320270, 320111","APS106H1-S-TUT0107-20241, APS106H1-S-PRA0108-20241, APS106H1-S-LEC0101-20241",2024-04-08 03:43:27 UTC,"Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm),Beck (LEC0103) - Lecture 3 (Friday\, 5 - 6 pm)",,I prefer the scheduling of the lectures in another section(s),Trying to solve the breakout problems,I did not attend any tutorials this week,LEC0103 - Beck Lecture Recording,"PRA0104\, Thursday\, 12 - 2 pm",,No,I have fallen behind,Difficult ,Classes,No new feedback ,Difficult to use,,,,,,False,False,LEC0103,False,difficult ,0.0,2.0
25,"APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241","320168, 320276, 320111","APS106H1-S-PRA0101-20241, APS106H1-S-TUT0101-20241, APS106H1-S-LEC0101-20241",2024-04-08 03:38:56 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm)",The lectures are not an effective learning tool for me,,Distracted with non-academic activities,I did not attend any tutorials this week,LEC0101 - Kinsella & Goodfellow Lecture Recording,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I have fallen behind,Ugh,,,,1010156251.0,LEC0101,TUT0101,PRA0101,Chemical,LEC0101,False,False,True,ugh,-1.8,1.0
26,"APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241","320111, 320299, 320239","APS106H1-S-LEC0101-20241, APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241",2024-04-08 03:38:40 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm)",Other,,Following the lecture by looking at the content and listening to the instructor,"Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am starting to fall behind,Overwhelmed,Pandas,,"I'm not sure why but my computer doesn't have them installed on pycharm, so I'm not sure how to use it.",1010234792.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,overwhelmed,0.2,1.0
27,"APS106H1-S-TUT0105-20241, APS106H1-S-PRA0105-20241, APS106H1-S-LEC0102-20241","320307, 320246, 320129","APS106H1-S-TUT0105-20241, APS106H1-S-PRA0105-20241, APS106H1-S-LEC0102-20241",2024-04-08 03:34:19 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm)",Other,Other,Other,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,fine,,,thank god,1009897649.0,LEC0102,TUT0105,PRA0105,Mechanical,False,False,LEC0103,False,fine,0.8,2.0
28,"APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241","320224, 320285, 320111","APS106H1-S-PRA0102-20241, APS106H1-S-TUT0102-20241, APS106H1-S-LEC0101-20241",2024-04-08 03:32:41 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm)","I was working on assignments and/or projects for another course,The lecture times make them challenging to regularly attend",,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,I was working on assignments for this course,I was working on assignments and/or projects for another course",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am starting to fall behind,Nervous,pandas,the course is really interesting,i am a bit behind on pandas,1009375016.0,LEC0101,TUT0102,PRA0102,Chemical,LEC0101,False,False,True,nervous,-1.1,2.0
29,"APS106H1-S-PRA0108-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241","320270, 320328, 320111","APS106H1-S-PRA0108-20241, APS106H1-S-TUT0108-20241, APS106H1-S-LEC0101-20241",2024-04-08 03:31:56 UTC,I did not attend any lectures this week,"I was working on assignments and/or projects for another course,The lecture room is not conducive to learning",,,I did not attend any tutorials this week,"LEC0101 - Kinsella & Goodfellow Lecture Recording,TUT0109 (Online) - Katia Ossetchkina Tutorial Recording,The Daily Pickle",I did not attend any lab/practical sessions this week,2-4 hours,No,I have fallen behind,Lost,Pandas,,,1009003301.0,LEC0101,TUT0108,PRA0108,Mechanical,False,False,False,False,lost,-1.3,0.0
30,"APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241","320299, 320239, 320111","APS106H1-S-TUT0104-20241, APS106H1-S-PRA0104-20241, APS106H1-S-LEC0101-20241",2024-04-08 03:24:41 UTC,"Kinsella & Goodfellow (LEC0101) - Lecture 1 (Tuesday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 2 (Thursday\, 4 - 5 pm),Kinsella & Goodfellow (LEC0101) - Lecture 3 (Friday\, 4 - 5 pm)",,,,"Katia (TUT0104\, Monday\, 10 - 11 am)",I did not use or plan to use any recorded material this week,"PRA0108\, Thursday\, 12 - 2 pm",Less than 2 hour,Yes,I am up-to-date,ya,no,great,fun,1010164288.0,LEC0101,TUT0104,PRA0104,Civil,LEC0101,False,False,True,ya,0.0,3.0
31,"APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241","320149, 320328, 320270","APS106H1-S-LEC0103-20241, APS106H1-S-TUT0108-20241, APS106H1-S-PRA0108-20241",2024-04-08 03:17:35 UTC,"Beck (LEC0103) - Lecture 1 (Monday\, 3 - 4 pm),Beck (LEC0103) - Lecture 2 (Wednesday\, 3 - 4 pm)",Other,,"Following the lecture by looking at the content and listening to the instructor,Coding along with the instructor on my device,Trying to solve the breakout problems,Distracted with non-academic activities",I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,Less than 2 hour,No,I am up-to-date,Files.Grrrrrrr🤬,,No feedback ,"I like it

easier to do files with

too many new things at once tho ",1010729703.0,LEC0103,TUT0108,PRA0108,Materials,False,False,LEC0103,True,files grrrrrrr🤬,0.0,2.0
32,"APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241","320307, 320129, 320246","APS106H1-S-TUT0105-20241, APS106H1-S-LEC0102-20241, APS106H1-S-PRA0105-20241",2024-04-08 03:16:44 UTC,I did not attend any lectures this week,,,,I did not attend any tutorials this week,I did not use or plan to use any recorded material this week,I did not attend any lab/practical sessions this week,2-4 hours,No,I am starting to fall behind,Unprioritized ,,,,1010173857.0,LEC0102,TUT0105,PRA0105,Mechanical,False,False,False,False,unprioritized ,0.0,0.0
